CustomerID,Age,Gender,Income,ProductsViewed,CartItems,TimeOnSite,PreviousPurchases,DiscountUsed,Membership,FavoriteCategory,Purchased,AmountSpent
28,62,Female,123896,23,7,17,12,4,Gold,Home,1,11655
29,48,Female,103360,39,0,56,18,32,Gold,Sports,1,6834
30,40,Female,130896,5,9,20,10,18,Gold,Sports,1,13035
31,59,Male,28927,1,3,41,12,21,Platinum,Sports,1,5057
32,27,Male,113680,13,2,46,20,4,Silver,Home,1,8947
33,49,Female,116546,21,5,58,7,1,Silver,Home,1,9211
34,60,Female,42443,26,6,12,7,29,Silver,Sports,1,6947
35,47,Female,99973,45,3,6,3,38,Gold,Fashion,1,6548
36,56,Male,83449,21,6,17,14,3,Silver,Books,1,9637
37,48,Female,129834,18,8,51,27,32,Silver,Books,1,14843
38,35,Male,125314,37,1,19,10,12,Gold,Books,1,7212
39,53,Male,96743,45,2,26,10,19,Silver,Home,1,6769
40,19,Male,141805,32,4,48,0,6,Gold,Home,1,8472
41,31,Male,80233,36,2,44,16,14,Silver,Fashion,1,7009
42,30,Male,45537,17,7,44,14,22,Silver,Books,1,8821
43,46,Female,121293,35,9,52,19,13,Gold,Books,1,14001
44,29,Female,97576,49,7,32,5,22,Silver,Sports,1,9553
45,56,Female,127522,11,7,6,23,18,Silver,Home,1,13450
46,19,Female,42612,21,8,55,21,28,Gold,Books,1,10454
47,49,Female,113977,26,3,58,27,19,Gold,Fashion,1,10709
48,30,Male,26471,4,4,36,24,28,Silver,Fashion,1,7458
49,63,Female,55631,34,4,38,14,23,Gold,Books,1,7125
50,44,Female,148449,48,7,11,8,17,Silver,Home,1,12037
51,58,Male,128997,18,6,33,13,9,Silver,Fashion,1,11309
52,34,Female,112059,40,8,24,17,7,Gold,Sports,1,12632
53,57,Male,51348,35,7,23,25,25,Gold,Fashion,1,10703
54,48,Female,84732,41,1,15,16,28,Gold,Electronics,1,6489
55,51,Male,21177,29,9,27,17,9,Gold,Electronics,1,9697
56,41,Female,24760,29,3,11,4,16,Platinum,Home,1,3690
57,62,Female,52779,38,5,57,19,1,Gold,Books,1,8461
58,52,Male,41636,42,1,51,19,5,Silver,Home,1,5215
59,23,Male,101889,21,6,50,8,4,Gold,Home,1,9475
60,36,Male,73551,42,2,17,10,27,Silver,Home,1,5842
61,47,Male,31556,13,2,51,23,4,Silver,Home,1,6112
62,24,Male,47598,49,1,53,21,17,Silver,Sports,1,5753
63,27,Male,31563,41,7,14,0,25,Silver,Sports,1,6162
64,58,Male,66819,17,5,27,17,19,Platinum,Fashion,1,8722
65,49,Male,129326,9,0,18,5,26,Gold,Electronics,0,0
66,51,Female,93770,41,0,28,26,11,Gold,Home,1,7650
67,45,Female,111055,1,6,51,1,6,Silver,Fashion,1,8792
68,32,Male,46966,2,7,47,14,2,Silver,Electronics,1,8878
69,47,Female,140133,48,4,47,28,9,Silver,Books,1,12605
70,54,Female,101709,29,4,4,25,33,Silver,Sports,1,10618
71,46,Female,79889,33,3,7,20,24,Gold,Electronics,1,8295
72,39,Female,46987,10,5,45,13,34,Gold,Books,1,7329
73,21,Male,98714,40,5,35,4,15,Gold,Electronics,1,8048
74,37,Female,124874,21,2,48,5,1,Silver,Sports,0,0
75,49,Male,78348,28,8,9,5,23,Platinum,Sports,1,9483
76,53,Female,44596,11,6,8,29,9,Gold,Fashion,1,10333
77,21,Female,53174,34,0,52,21,37,Gold,Home,1,5276
78,44,Female,84106,8,6,45,29,21,Gold,Electronics,1,11914
79,34,Male,127510,22,4,17,17,25,Silver,Electronics,1,10450
80,29,Female,89967,8,4,17,13,38,Silver,Books,1,8348
81,39,Male,79182,49,1,49,9,26,Silver,Sports,1,5217
82,34,Female,113300,15,3,33,13,28,Gold,Electronics,1,8582
83,27,Male,107163,17,5,32,12,37,Silver,Sports,1,9586
84,18,Female,59310,23,9,8,29,19,Silver,Electronics,1,13022
85,39,Male,76088,24,6,19,2,26,Silver,Fashion,1,7543
86,43,Male,148803,45,4,38,29,19,Silver,Home,1,13102
87,35,Female,28906,19,8,3,5,18,Platinum,Electronics,1,7506
88,31,Male,56914,5,2,59,28,19,Gold,Sports,1,7876
89,64,Female,130350,32,0,5,7,34,Silver,Fashion,1,6264
90,46,Female,65379,44,3,13,11,1,Silver,Electronics,1,6365
91,29,Female,98612,1,8,47,12,29,Silver,Books,1,11344
92,53,Female,134828,23,3,46,10,33,Silver,Home,1,8993
93,52,Female,147445,37,1,31,11,21,Silver,Electronics,1,8247
94,29,Female,57650,8,9,55,0,2,Silver,Fashion,1,8606
95,24,Female,66881,13,4,16,16,5,Silver,Books,1,7875
96,46,Female,66413,8,2,50,15,14,Gold,Fashion,1,6306
97,28,Female,26012,23,8,32,10,26,Gold,Fashion,1,8140
98,50,Female,70115,43,3,22,12,9,Silver,Books,1,6704
99,23,Female,27151,1,5,29,17,8,Silver,Fashion,1,7136
100,64,Male,77716,45,1,22,10,32,Gold,Books,1,5308
101,32,Male,113747,24,5,43,27,31,Gold,Electronics,1,12099
102,49,Female,112653,35,2,3,11,5,Platinum,Books,1,7556
103,28,Female,56378,24,8,54,5,35,Gold,Books,1,8605
104,40,Female,62652,17,1,10,8,1,Silver,Home,0,0
105,43,Female,92430,5,8,42,15,28,Silver,Books,1,11547
106,51,Female,33467,20,4,21,3,3,Gold,Books,1,4588
107,63,Female,51010,21,7,16,2,0,Silver,Electronics,1,7240
108,51,Female,148647,40,1,12,27,18,Gold,Home,1,10695
109,46,Female,141999,31,5,2,15,25,Platinum,Sports,1,11429
110,21,Male,134793,46,2,41,23,24,Gold,Electronics,1,10241
111,34,Female,74691,36,9,24,26,9,Silver,Electronics,1,13187
112,52,Male,84157,11,4,35,25,14,Gold,Sports,1,9916
113,30,Female,128177,15,7,56,29,21,Silver,Books,1,14377
114,58,Female,32289,19,9,30,24,20,Gold,Fashion,1,11191
115,56,Male,64976,7,0,57,11,21,Platinum,Home,0,0
116,32,Female,63596,28,4,30,10,35,Silver,Fashion,1,6843
117,46,Male,43171,43,2,47,4,33,Platinum,Sports,1,3726
118,46,Female,120441,5,3,35,24,29,Platinum,Electronics,1,10517
119,28,Female,146296,5,1,19,17,24,Silver,Electronics,1,9101
120,49,Male,106365,30,8,50,18,27,Silver,Home,1,12554
121,19,Female,138218,32,2,8,22,0,Silver,Electronics,1,10228
122,64,Male,119590,8,1,26,22,3,Silver,Electronics,1,8783
123,31,Female,134014,10,9,49,5,6,Silver,Home,1,12410
124,37,Male,64139,38,8,40,21,8,Gold,Home,1,11315
125,39,Male,68713,47,6,7,17,35,Silver,Sports,1,9498
126,28,Female,49734,32,5,30,25,18,Silver,Electronics,1,9239
127,44,Female,92588,48,0,7,5,0,Gold,Electronics,1,4453
128,20,Male,83646,28,4,3,3,9,Silver,Sports,1,6595
129,34,Female,23654,17,2,1,11,35,Gold,Books,1,3996
130,61,Female,109022,31,0,36,18,8,Silver,Books,1,7060
131,45,Female,38743,8,3,25,28,31,Silver,Books,1,7849
132,46,Male,68368,40,1,37,26,31,Gold,Sports,1,7334
133,38,Male,110025,25,1,1,28,5,Gold,Electronics,1,9301
134,64,Male,94172,9,2,15,1,37,Platinum,Sports,1,5316
135,33,Male,26441,2,7,37,16,16,Gold,Sports,1,8357
136,54,Male,139735,15,7,13,10,9,Gold,Books,1,11989
137,37,Male,44611,3,6,40,10,26,Silver,Fashion,1,7484
138,23,Male,139891,49,5,8,20,34,Silver,Electronics,1,12095
139,36,Male,127971,36,8,5,15,20,Gold,Books,1,12968
140,22,Male,32149,4,3,9,1,24,Gold,Fashion,1,3535
141,20,Female,120102,14,0,1,1,27,Platinum,Fashion,0,0
142,18,Male,79189,41,7,36,22,14,Silver,Home,1,11367
143,55,Female,127904,41,6,35,7,3,Silver,Electronics,1,10366
144,32,Female,41675,25,6,2,12,28,Gold,Fashion,1,7667
145,51,Female,91031,10,2,40,9,8,Silver,Books,1,6391
146,52,Male,62668,21,3,23,7,26,Platinum,Home,1,5656
147,42,Male,33673,36,9,9,29,25,Platinum,Electronics,1,11996
148,41,Male,149582,12,8,34,3,18,Silver,Sports,1,12033
149,29,Male,96666,27,5,46,14,27,Gold,Books,1,9466
150,35,Female,108204,40,4,14,29,16,Gold,Fashion,1,11478
151,32,Male,100758,2,2,4,0,19,Silver,Fashion,0,0
152,61,Male,85429,13,8,30,10,39,Platinum,Books,1,10517
153,33,Male,43669,32,4,31,6,38,Gold,Fashion,1,5446
154,44,Male,54068,31,4,38,16,22,Gold,Home,1,7362
155,25,Male,108789,16,3,11,26,31,Silver,Electronics,1,10351
156,63,Female,29435,32,3,35,19,32,Platinum,Home,1,6127
157,42,Male,114088,32,0,8,23,4,Silver,Fashion,1,8013
158,34,Female,72249,34,6,3,17,33,Silver,Sports,1,9639
159,46,Male,57384,11,8,14,21,39,Platinum,Electronics,1,11045
160,25,Female,148782,10,2,13,28,10,Silver,Electronics,1,11551
161,32,Male,101929,15,1,45,21,2,Silver,Books,1,7927
162,44,Male,147959,17,2,32,11,32,Platinum,Books,1,8968
163,63,Female,96153,40,0,34,8,10,Platinum,Sports,1,5046
164,24,Female,124056,18,5,45,4,15,Gold,Electronics,1,9062
165,20,Female,95388,9,6,19,9,17,Gold,Sports,1,9365
166,46,Male,51401,25,1,59,3,29,Silver,Books,1,3206
167,61,Female,145511,40,7,38,4,9,Silver,Books,1,11320
168,41,Male,91831,14,5,16,27,17,Silver,Electronics,1,11223
169,20,Male,139503,25,3,2,27,37,Gold,Home,1,11730
170,37,Female,135760,22,4,40,9,18,Gold,Fashion,1,9580
171,63,Female,121529,30,7,17,10,35,Gold,Books,1,11261
172,32,Male,147834,20,2,55,20,12,Gold,Books,1,10313
173,42,Male,54084,21,2,34,23,2,Silver,Home,1,7013
174,47,Female,140387,44,3,42,9,9,Silver,Home,1,9065
175,31,Female,130641,32,0,16,27,37,Silver,Sports,1,9275
176,24,Female,125111,46,8,38,7,0,Gold,Sports,1,11654
177,34,Male,75826,49,7,2,1,26,Silver,Fashion,1,8083
178,61,Male,56451,21,7,2,22,7,Platinum,Fashion,1,10458
179,37,Male,27227,35,9,26,7,16,Silver,Electronics,1,8439
180,53,Male,51910,32,5,13,15,8,Silver,Sports,1,7826
181,26,Male,56041,30,6,56,26,5,Silver,Books,1,10341
182,55,Male,108920,39,5,47,21,24,Gold,Sports,1,11006
183,39,Female,85681,49,8,31,4,38,Gold,Books,1,9627
184,19,Male,123314,12,2,34,26,27,Silver,Home,1,10232
185,41,Male,101571,41,2,39,24,32,Silver,Sports,1,9062
186,25,Male,85481,47,2,3,28,36,Gold,Home,1,9019
187,28,Female,88576,18,9,8,2,8,Silver,Fashion,1,10143
188,30,Male,127958,21,2,23,11,17,Gold,Fashion,1,8168
189,34,Male,149265,13,8,14,12,20,Gold,Electronics,1,13370
190,25,Female,147556,21,3,56,12,1,Silver,Sports,1,9802
191,38,Male,84174,8,6,55,9,37,Silver,Home,1,8916
192,35,Male,46160,46,8,27,3,39,Platinum,Books,1,7896
193,47,Male,135170,40,6,54,8,35,Silver,Fashion,1,10806
194,35,Male,137867,46,8,29,21,36,Silver,Fashion,1,14264
195,63,Male,37633,7,2,39,23,14,Gold,Books,1,6355
196,64,Female,114880,23,3,53,22,27,Platinum,Home,1,9995
197,48,Female,37014,44,7,39,26,17,Platinum,Home,1,10280
198,55,Female,100532,32,5,1,1,33,Gold,Sports,1,7671
199,49,Male,69104,11,4,17,18,21,Silver,Sports,1,8264
200,28,Male,61621,22,3,41,0,10,Silver,Electronics,1,4564
201,62,Male,97231,22,7,30,24,12,Gold,Fashion,1,12389
202,42,Female,88388,43,0,53,28,3,Gold,Sports,1,7735
203,50,Male,36014,25,8,13,6,21,Silver,Home,1,7940
204,55,Male,112578,22,0,21,16,6,Platinum,Books,1,6903
205,58,Female,53755,28,7,19,2,23,Silver,Home,1,7350
206,25,Male,60390,29,3,53,19,3,Silver,Fashion,1,7365
207,28,Female,43711,13,8,19,19,27,Silver,Home,1,10198
208,39,Female,111658,18,4,57,20,14,Silver,Electronics,1,10266
209,41,Female,77993,2,2,25,29,0,Silver,Fashion,1,8869
210,58,Male,94696,29,8,22,2,2,Silver,Books,1,9687
211,34,Male,47213,21,8,31,2,13,Silver,Electronics,1,7788
212,29,Male,135788,15,3,17,16,37,Gold,Fashion,1,9931
213,63,Male,124956,27,3,55,6,0,Gold,Books,1,7998
214,49,Male,77784,31,7,23,26,37,Gold,Electronics,1,11911
215,32,Male,27421,15,1,32,25,37,Platinum,Electronics,1,5546
216,33,Male,106936,23,8,10,13,20,Silver,Fashion,1,11827
217,39,Female,119073,24,5,10,16,28,Silver,Sports,1,10662
218,45,Male,37727,44,8,36,17,4,Platinum,Electronics,1,9659
219,37,Female,132418,13,7,8,12,9,Silver,Electronics,1,11996
220,50,Male,24358,22,6,54,19,27,Platinum,Books,1,8024
221,27,Male,85108,43,0,52,28,20,Silver,Home,1,7604
222,57,Male,146609,37,2,20,19,6,Platinum,Fashion,1,10114
223,49,Female,114018,33,1,32,20,2,Silver,Fashion,1,8260
224,50,Female,144457,3,4,50,26,19,Platinum,Sports,1,12478
225,19,Female,52117,19,4,14,17,18,Gold,Sports,1,7434
226,50,Female,108700,23,4,50,3,34,Platinum,Fashion,1,7598
227,50,Male,51910,29,3,28,0,3,Silver,Sports,1,4176
228,58,Female,146888,30,4,46,17,4,Gold,Books,1,11225
229,30,Male,118032,39,2,52,0,0,Platinum,Fashion,1,6121
230,47,Male,75754,44,0,53,25,3,Gold,Sports,1,6780
231,50,Female,82438,47,4,24,25,11,Gold,Fashion,1,9847
232,30,Female,129847,25,8,15,12,26,Gold,Home,1,12593
233,43,Female,49371,37,8,22,19,22,Silver,Electronics,1,10424
234,39,Female,71501,47,3,30,19,24,Gold,Fashion,1,7810
235,56,Female,80946,8,2,4,22,20,Gold,Electronics,1,7937
236,19,Female,58467,42,0,13,9,23,Platinum,Sports,1,3688
237,55,Female,37625,16,1,59,26,24,Silver,Electronics,1,6105
238,56,Female,53893,8,7,23,10,31,Silver,Fashion,1,8555
239,43,Male,96329,1,0,8,8,31,Platinum,Home,0,0
240,63,Female,51007,44,7,18,8,4,Platinum,Sports,1,8140
241,32,Female,111302,5,6,12,4,35,Silver,Fashion,1,9252
242,51,Male,59532,3,7,55,25,38,Gold,Sports,1,11031
243,59,Female,74253,1,5,31,0,15,Silver,Books,1,6470
244,61,Male,32323,4,8,14,16,32,Silver,Electronics,1,9292
245,57,Male,131335,40,2,34,21,20,Silver,Books,1,9803
246,28,Female,132356,35,9,18,1,8,Silver,Fashion,1,11744
247,20,Male,130944,32,3,56,23,5,Gold,Home,1,10787
248,23,Male,93379,42,5,34,12,34,Silver,Sports,1,9035
249,26,Male,34210,34,7,11,8,38,Platinum,Electronics,1,7468
250,23,Male,36456,43,4,41,28,21,Platinum,Sports,1,8458
251,26,Female,51367,25,2,12,3,4,Gold,Fashion,1,3904
252,56,Male,74624,10,5,49,4,22,Gold,Sports,1,7084
253,48,Female,30106,21,3,15,10,16,Silver,Electronics,1,4804
254,49,Male,123493,46,8,57,23,11,Gold,Fashion,1,13989
255,58,Male,88008,39,2,31,18,22,Gold,Sports,1,7620
256,29,Male,145926,27,3,49,20,15,Silver,Home,1,10937
257,25,Male,135395,27,6,58,2,2,Platinum,Fashion,1,9915
258,25,Female,136492,2,6,29,11,29,Gold,Fashion,1,11309
259,45,Female,92240,41,3,26,25,21,Platinum,Home,1,9539
260,37,Male,84315,48,5,18,18,8,Gold,Books,1,9572
261,64,Male,89249,13,2,32,18,28,Gold,Electronics,1,7669
262,24,Female,90587,9,5,22,12,36,Silver,Books,1,8923
263,28,Male,30756,36,1,38,27,22,Platinum,Sports,1,5980
264,37,Male,88011,22,7,17,6,12,Platinum,Home,1,9320
265,33,Male,56378,42,1,23,14,31,Silver,Books,1,5055
266,21,Female,24255,26,6,24,22,22,Silver,Fashion,1,8470
267,23,Female,34484,12,8,50,6,16,Silver,Sports,1,7879
268,39,Female,145703,17,0,8,25,39,Gold,Sports,1,9578
269,43,Male,76549,14,7,41,7,20,Platinum,Books,1,9011
270,20,Male,54503,14,6,6,4,1,Silver,Books,1,6980
271,58,Female,144465,34,5,5,20,36,Gold,Home,1,12278
272,59,Female,93794,20,5,44,13,5,Silver,Electronics,1,9201
273,31,Female,145941,11,5,57,3,17,Platinum,Books,1,9787
274,28,Female,126283,16,8,29,22,29,Gold,Books,1,13951
275,35,Male,120732,31,1,28,9,21,Gold,Fashion,1,6879
276,29,Female,65113,6,0,11,19,32,Silver,Sports,1,5454
277,40,Male,125730,19,5,57,14,29,Silver,Electronics,1,10629
278,29,Female,94069,37,9,1,17,16,Silver,Fashion,1,12612
279,30,Male,118117,4,7,43,19,31,Silver,Home,1,12474
280,42,Female,25249,47,2,19,12,13,Platinum,Home,1,4209
281,62,Female,145654,4,9,9,28,9,Gold,Books,1,16326
282,36,Female,139979,20,0,27,7,35,Platinum,Books,1,6649
283,63,Female,39201,10,8,34,8,33,Platinum,Home,1,8368
284,53,Male,145541,24,0,44,15,8,Gold,Books,1,8071
285,62,Female,78576,35,2,4,18,27,Gold,Electronics,1,7243
286,25,Male,138562,26,7,36,15,10,Platinum,Books,1,12692
287,46,Male,145281,37,2,18,6,13,Gold,Sports,1,8111
288,49,Male,29686,38,3,15,13,38,Silver,Books,1,5237
289,61,Male,132413,21,7,51,27,18,Silver,Fashion,1,14246
290,35,Female,73363,40,0,13,13,14,Silver,Electronics,1,4884
291,23,Male,117543,39,5,19,24,27,Platinum,Fashion,1,11801
292,35,Male,20661,21,0,49,26,23,Gold,Fashion,1,4726
293,36,Male,64843,10,0,6,3,7,Silver,Sports,0,0
294,39,Female,115673,38,7,48,25,8,Gold,Electronics,1,13276
295,54,Female,80963,46,3,56,14,32,Gold,Electronics,1,7438
296,49,Female,133092,4,0,12,2,32,Silver,Electronics,0,0
297,58,Female,62828,45,9,51,4,18,Silver,Electronics,1,9413
298,20,Male,68604,20,6,37,0,2,Gold,Electronics,1,6944
299,45,Male,30526,17,4,17,2,9,Gold,Sports,1,4321
300,27,Female,88910,7,4,58,14,39,Gold,Books,1,8456
301,52,Male,45592,4,0,23,23,0,Gold,Fashion,0,0
302,46,Male,48982,29,9,26,26,28,Platinum,Electronics,1,12159
303,32,Male,20207,14,5,29,7,33,Gold,Books,1,5358
304,50,Female,120969,3,8,33,28,12,Gold,Books,1,14638
305,24,Female,137181,24,8,27,3,0,Platinum,Fashion,1,11537
306,29,Male,108733,37,7,25,1,33,Silver,Sports,1,9399
307,47,Female,118936,16,4,56,28,28,Silver,Home,1,11757
308,38,Female,144982,4,0,55,23,12,Silver,Home,1,9249
309,48,Female,145839,24,8,10,23,28,Gold,Books,1,14883
310,41,Female,88619,34,0,47,9,38,Gold,Fashion,1,4894
311,37,Female,49328,30,7,23,3,23,Gold,Home,1,7323
312,54,Male,66479,18,4,21,2,25,Silver,Books,1,5759
313,21,Female,128427,19,2,21,1,16,Silver,Sports,1,6687
314,45,Male,40103,31,6,43,24,6,Silver,Home,1,9404
315,61,Male,59891,19,6,13,16,12,Silver,Books,1,8995
316,37,Female,30754,49,8,37,22,4,Gold,Books,1,10130
317,41,Male,119983,46,6,33,20,25,Silver,Electronics,1,11999
318,49,Male,101437,19,2,24,23,2,Silver,Sports,1,8907
319,58,Male,118540,22,0,44,19,6,Platinum,Electronics,1,7591
320,53,Female,92982,24,7,11,22,38,Silver,Fashion,1,11919
321,51,Female,122747,45,2,17,12,0,Gold,Electronics,1,8109
322,53,Male,75922,12,7,4,4,16,Gold,Electronics,1,8536
323,19,Female,68231,30,7,47,29,24,Silver,Home,1,11979
324,32,Female,49301,38,4,25,20,2,Gold,Books,1,7772
325,51,Female,111652,31,0,30,29,14,Platinum,Sports,1,8816
326,53,Female,140787,36,9,9,8,28,Platinum,Electronics,1,13131
327,23,Male,146823,19,6,21,24,31,Silver,Sports,1,13672
328,56,Male,82711,48,9,20,28,25,Platinum,Electronics,1,13808
329,59,Female,61323,45,4,19,24,15,Silver,Fashion,1,8852
330,29,Female,38752,36,7,19,27,24,Silver,Electronics,1,10500
331,20,Male,117912,30,8,12,21,27,Silver,Home,1,13466
332,62,Male,102205,49,6,37,5,8,Platinum,Books,1,9038
333,35,Female,118452,33,6,42,4,0,Silver,Fashion,1,9538
334,57,Male,33395,18,0,17,24,28,Silver,Electronics,1,4935
335,38,Female,105957,49,3,37,9,21,Gold,Sports,1,7688
336,32,Female,141237,28,1,54,7,15,Silver,Fashion,1,7399
337,50,Male,76273,47,1,48,6,6,Silver,Fashion,1,4650
338,52,Male,147431,11,1,39,6,13,Silver,Electronics,0,0
339,43,Female,111878,45,3,28,5,28,Silver,Fashion,1,7325
340,25,Female,24895,33,0,41,20,18,Silver,Sports,1,3995
341,53,Male,139968,17,3,35,28,18,Silver,Fashion,1,11898
342,47,Female,135700,6,1,47,19,1,Gold,Sports,0,0
343,40,Male,96559,4,4,48,2,14,Silver,Electronics,1,6962
344,59,Female,30699,20,2,18,18,2,Silver,Books,1,5327
345,61,Male,85061,48,7,14,21,10,Platinum,Fashion,1,11452
346,31,Male,29715,47,3,35,14,29,Silver,Books,1,5388
347,31,Male,39169,27,0,44,3,39,Gold,Sports,1,2016
348,19,Female,145436,15,0,41,27,17,Silver,Fashion,1,9867
349,54,Female,138413,6,9,7,11,1,Silver,Home,1,13486
350,22,Male,36163,47,2,41,5,31,Silver,Books,1,3596
351,55,Female,139264,14,8,13,18,7,Silver,Fashion,1,13870
352,62,Male,25782,11,6,18,3,21,Silver,Books,1,5681
353,58,Male,108177,39,1,37,14,5,Silver,Fashion,1,7127
354,64,Female,149772,9,8,13,8,11,Silver,Electronics,1,12790
355,31,Female,144481,26,9,36,4,39,Silver,Books,1,12679
356,56,Male,104328,16,1,31,12,35,Silver,Home,1,6673
357,42,Female,135028,5,2,2,22,14,Silver,Home,1,10101
358,37,Female,55585,10,9,16,25,27,Silver,Sports,1,12273
359,19,Male,50682,3,1,9,17,17,Gold,Fashion,1,5277
360,56,Male,67864,13,2,9,29,1,Gold,Books,1,8464
361,23,Female,149992,43,5,38,29,12,Silver,Sports,1,13849
362,34,Male,104416,49,8,11,4,14,Gold,Books,1,10376
363,42,Male,75114,30,8,54,24,19,Gold,Fashion,1,12204
364,45,Female,147810,45,6,56,15,28,Silver,Home,1,12362
365,19,Male,58067,6,2,22,26,28,Platinum,Electronics,1,7622
366,52,Male,62685,17,3,33,18,2,Platinum,Home,1,7307
367,54,Female,142262,45,5,36,13,18,Silver,Sports,1,11140
368,22,Female,38073,19,4,45,24,2,Silver,Electronics,1,7922
369,18,Male,56035,42,1,23,29,13,Gold,Sports,1,7291
370,57,Male,84977,35,5,45,15,39,Gold,Fashion,1,9149
371,29,Female,122710,46,2,45,26,3,Silver,Electronics,1,10208
372,53,Female,110373,26,7,34,14,10,Silver,Sports,1,11414
373,62,Female,103362,5,1,9,21,30,Silver,Fashion,1,7984
374,40,Female,110517,29,0,24,3,31,Silver,Home,1,4870
375,64,Male,85450,37,8,8,6,26,Gold,Fashion,1,9918
376,48,Female,30382,20,2,7,15,29,Silver,Books,1,4865
377,28,Female,24437,49,0,36,23,1,Silver,Fashion,1,4427
378,27,Male,90971,21,6,18,21,8,Gold,Fashion,1,10988
379,20,Female,84612,10,9,3,20,27,Silver,Books,1,12684
380,31,Male,110355,5,4,28,21,30,Silver,Sports,1,10364
381,33,Female,81929,36,4,6,20,33,Gold,Sports,1,9077
382,27,Female,122411,6,0,44,7,14,Platinum,Fashion,0,0
383,46,Female,117518,26,8,44,16,24,Gold,Books,1,12700
384,27,Male,118864,4,6,21,15,35,Gold,Books,1,11204
385,29,Male,32329,39,7,28,26,7,Silver,Home,1,10093
386,47,Female,145605,39,8,40,22,8,Silver,Sports,1,14724
387,58,Male,45169,35,5,54,9,36,Gold,Electronics,1,6656
388,18,Male,107468,1,4,54,9,38,Silver,Sports,1,8448
389,22,Male,54594,24,5,1,26,31,Silver,Sports,1,9583
390,37,Male,96957,36,1,36,1,16,Silver,Home,1,4728
391,25,Male,80631,6,3,21,29,34,Silver,Electronics,1,9675
392,60,Male,65033,41,2,43,8,36,Silver,Home,1,5201
393,29,Female,83133,46,6,35,16,18,Silver,Electronics,1,9925
394,18,Female,93165,44,8,13,10,28,Silver,Fashion,1,10826
395,37,Male,93861,31,4,57,9,6,Silver,Electronics,1,7904
396,45,Female,72290,20,5,49,21,27,Platinum,Home,1,9541
397,60,Female,114031,24,9,54,24,8,Gold,Sports,1,14461
398,54,Female,51750,25,1,54,16,27,Gold,Electronics,1,5170
399,64,Female,115155,36,2,10,3,5,Gold,Electronics,1,6456
400,54,Male,60461,21,2,53,15,28,Silver,Books,1,6068
401,29,Female,93800,30,8,44,19,16,Silver,Sports,1,12202
402,54,Female,98222,24,6,47,14,15,Gold,Fashion,1,10228
403,61,Male,132020,44,7,53,24,22,Gold,Home,1,13780
404,45,Male,44226,42,9,10,26,30,Gold,Fashion,1,11969
405,64,Female,26721,30,8,46,20,2,Silver,Sports,1,9668
406,32,Female,76154,22,5,13,4,20,Silver,Electronics,1,7146
407,23,Female,40609,28,3,37,5,25,Silver,Electronics,1,4474
408,61,Female,72130,7,0,38,16,35,Silver,Sports,1,5285
409,37,Female,92909,35,7,24,0,36,Gold,Electronics,1,8616
410,31,Female,124211,28,6,2,24,21,Gold,Electronics,1,12768
411,19,Male,75249,14,1,22,18,11,Silver,Electronics,1,6409
412,26,Female,68895,10,7,17,3,12,Platinum,Home,1,8105
413,54,Female,114473,16,4,36,16,10,Gold,Home,1,9778
414,37,Male,25656,16,6,14,8,15,Silver,Books,1,6426
415,43,Male,144865,31,3,10,23,7,Silver,Fashion,1,11344
416,46,Male,94520,42,4,35,1,39,Silver,Sports,1,6730
417,18,Male,83740,25,7,25,7,39,Silver,Sports,1,9299
